owner_module	path	base_blob_oid	baseline_declaration_name	ilean_path	ilean_sha256	ilean_root	source_ordinal	start_line_0	start_column_0	end_line_0	end_column_0	selection_start_line_0	selection_start_column_0	selection_end_line_0	selection_end_column_0	command_sha256
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.cstarMatrixEuclideanCoefficientCLM_apply	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.cstarMatrixEuclideanCoefficientCLM_apply	2	89	0	96	5	90	6	90	46	67A0AADA3654D8AC3B4D855F7B5805D7C1333A0507AAE1E2A36F901D20B43B0C
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficient	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficient	3	98	0	102	56	99	4	99	31	6B74B5BF14EBFDC8AED74B42D92F5E4D26366F61BF5872097EAE12650641DF4D
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficientCurve	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficientCurve	4	104	0	108	53	105	4	105	36	482BAD989FE23898C00E1EAEB31B4A65EA778F71F4D85D67630AB35797D38B3F
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.SpijkerArcLengthBound	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.SpijkerArcLengthBound	5	110	0	128	25	120	4	120	25	75E22102C1898CB7C6FDF5DAD9B3B518180E390FE99AD1DB86E5EDCBC14C985A
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.cstarMatrixEuclideanCoefficientCLM_circleIntegral	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.cstarMatrixEuclideanCoefficientCLM_circleIntegral	6	130	0	148	26	131	6	131	55	39F2C6B2D3B796FB5FF36AF99415AEA87AF59ED2A27F1206859A55EC34DD5F2B
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficient_pow_eq_circleIntegral	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficient_pow_eq_circleIntegral	7	150	0	189	68	153	6	153	55	BDD974210976CA47FEC6322F433CD2528C3930C51FEA37BD8B65BC658365E2F2
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficient_pow_eq_intervalIntegral	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficient_pow_eq_intervalIntegral	8	191	0	237	10	193	6	193	57	344DCC2CECB77A1B5D0984E4AF93B2BD30A5989BD03DCD3197F9A04B0B549B6F
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficientCurve_differentiableAt	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficientCurve_differentiableAt	9	240	0	258	36	242	6	242	55	3C28AF663495126F199FC1C222CD8A9BFD9190B3F8981EDA8A5B7666E4069D23
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficientCurve_hasDerivAt	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficientCurve_hasDerivAt	10	260	0	284	53	262	6	262	49	5BDA5C935F77DBBF7EEF8EDFC80896F9ABCA2262F11439EAB0960D33DA0A9DD4
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.spijkerResolventCoefficientCurve_deriv_continuous	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.spijkerResolventCoefficientCurve_deriv_continuous	11	286	0	316	53	288	6	288	55	F2EAC5D9BBD3ECD86CADA058664B4EAE1357E28586E89A4BA0F4E3ADF895D149
