consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowthSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowthSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowthSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowthSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Growth
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGrowthSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Solve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedMiddleSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedMiddleSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedMiddleSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedMiddleSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedMiddleSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
