baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x4	private	theorem	21	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x0	private	theorem	22	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x1	private	theorem	23	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x2	private	theorem	24	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x3	private	theorem	25	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_stops_x4	private	theorem	26	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x0	private	theorem	27	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x1	private	theorem	28	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x2	private	theorem	29	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x3	private	theorem	30	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_four	private	theorem	31	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_one	private	theorem	32	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_three	private	theorem	33	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_two	private	theorem	34	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
NumStability.Algorithms.HighamChapter15RectTermination	_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_zero	private	theorem	35	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route
