format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.Higham21GivensQMethodRowwiseCoefficient_nonneg	NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.Core	relocate_source	theorem	public	NumStability.Higham21GivensQMethodRowwiseCoefficient_nonneg	151
NumStability.Higham21GivensQMethodStoredReplayBridge	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensQMethodStoredReplayBridge	628
NumStability.Higham21GivensRoundedRowwiseCoefficient	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.RoundedReplay	relocate_source	definition	public	NumStability.Higham21GivensRoundedRowwiseCoefficient	443
NumStability.Higham21GivensRoundedRowwiseCoefficient_nonneg	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.RoundedReplay	relocate_source	theorem	public	NumStability.Higham21GivensRoundedRowwiseCoefficient_nonneg	450
NumStability.Higham21GivensStoredReplayBridge	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensStoredReplayBridge	71
NumStability.Higham21GivensStoredReplayBridge.mono	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21GivensStoredReplayBridge.mono	231
NumStability.Higham21Lemma21_2SourceBundle	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	inductive	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.casesOn	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	definition	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.frobenius_bound	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.min_norm	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.mk	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	constructor	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.op2_bound	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.projector_idempotent	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.projector_mixture	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.projector_sum	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.projector_symmetric	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.rec	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	recursor	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.recOn	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	definition	public	NumStability.Higham21Lemma21_2SourceBundle	9192
NumStability.Higham21Lemma21_2SourceBundle.transpose_witness	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Source.Higham.Chapter21.Lemma02.Symmetrization.UnderdeterminedSolve	relocate_source	theorem	public	NumStability.Higham21Lemma21_2SourceBundle	9192
