declaration	owner	reason
NumStability.instMeasurableSpaceForallFinComplex_numStability	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instMeasurableSpaceGinibreRawMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instMeasurableSpaceGinibreRawMatrix_1	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat	NumStability.Algorithms.TestMatrices.Higham28Stewart	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat_1	NumStability.Algorithms.TestMatrices.Higham28Probability	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat_2	NumStability.Algorithms.TestMatrices.Higham28Ginibre	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat_3	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat_4	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	file-scoped local ambient declaration
NumStability.instMeasurableSpaceRSqMat_5	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	file-scoped local ambient declaration
NumStability.instOpensMeasurableSpaceForallFinComplex_numStability	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instOpensMeasurableSpaceGinibreRawMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instStandardBorelSpaceForallFinComplex_numStability	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instStandardBorelSpaceGinibreIncidenceCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	file-scoped local ambient declaration
NumStability.instStandardBorelSpaceGinibreIncidenceNuisance	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	file-scoped local ambient declaration
NumStability.instStandardBorelSpaceGinibreRawMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.integrableOn_ginibreSignedIncidenceBelow	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	in the pinned reverse closure
NumStability.integrable_complexUpperEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.integrable_ginibreAlternatingEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.integrable_ginibreAlternatingPairEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.integrable_ginibreComplexShiftedDeterminantPermutationTerm_mul	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integrable_ginibreComplexShiftedPermutationPairMonomial	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
