declaration	kind	visibility	historical_owner	destination_module	retention_reason	private_floor	closure_depth	witness_source	witness_target	witness_edge_kind	command_root	start_line
NumStability.stationaryDrazinRangeProjector_drazinIG_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.stationaryDrazinRangeProjector_drazinIG_eq_semiconvergentE	406
NumStability.stationaryDrazinRangeProjector_matPow_sandwich	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	3	NumStability.stationaryDrazinRangeProjector_matPow_sandwich	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	body	NumStability.stationaryDrazinRangeProjector_matPow_sandwich	1181
NumStability.stationaryDrazinRangeProjector_null_component_fixed	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	3	NumStability.stationaryDrazinRangeProjector_null_component_fixed	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	body	NumStability.stationaryDrazinRangeProjector_null_component_fixed	1454
NumStability.stationaryDrazin_matPow_vec_split	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	3	NumStability.stationaryDrazin_matPow_vec_split	NumStability.stationaryDrazinFixedProjector_matPow_fixed	body	NumStability.stationaryDrazin_matPow_vec_split	1349
NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	4	NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	NumStability.stationaryDrazin_matPow_vec_split	body	NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	1392
NumStability.stationaryLocalError	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.stationaryLocalError	22
NumStability.stationaryLocalError_sourceComputedIteration	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.stationaryLocalError_sourceComputedIteration	30
NumStability.stationaryRoundedRhs	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.stationaryRoundedRhs	16
NumStability.stationaryRoundedRhs_error_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.stationaryRoundedRhs_error_bound	53
NumStability.sum_range_matPow_J_bottomProjector_entry	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.sum_range_matPow_J_bottomProjector_entry	1117
NumStability.summable_abs_GiE_Minv_entry	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	classify_document_only_owner	no					NumStability.summable_abs_GiE_Minv_entry	1312
