declaration	kind	visibility	owner_module	destination_module	route_class	normalization_decision	in_private_closure	new_private_name
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine
_private.NumStability.Algorithms.HighamChapter15BoydScalar.0.NumStability.Ch15.scalarBasis	definition	private	NumStability.Algorithms.HighamChapter15BoydScalar	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ScalarCase.Iteration.0.NumStability.Ch15.scalarBasis
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_ne	theorem	private	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_ne
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_two_le	theorem	private	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.SecondDerivative.Rowwise.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_two_le
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY0	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY2
